City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yar-Sale,RU,2021-05-29 19:16:26,66.8333,70.8333,46.63,96,71,9.69
68,Nanortalik,GL,2021-05-29 19:16:26,60.1432,-45.2371,37.0,87,100,7.63
69,Sisimiut,GL,2021-05-29 19:13:02,66.9395,-53.6735,46.8,51,72,14.25
70,Adre,TD,2021-05-29 19:16:27,13.4667,22.2,88.65,10,98,9.35
71,Siverek,TR,2021-05-29 19:16:27,37.755,39.3167,70.41,55,0,5.73
72,Todos Santos,MX,2021-05-29 19:16:27,23.45,-110.2167,101.01,49,100,7.52
73,Richards Bay,ZA,2021-05-29 19:13:31,-28.783,32.0377,65.57,82,8,5.17
74,Hanzhong,CN,2021-05-29 19:16:28,33.0728,107.0303,66.22,86,41,1.92
75,Jining,CN,2021-05-29 19:16:28,35.405,116.5814,65.35,52,2,5.12
76,Soavinandriana,MG,2021-05-29 19:16:28,-19.1667,46.7333,52.52,70,0,3.42
77,Caravelas,BR,2021-05-29 19:16:29,-17.7125,-39.2481,79.9,72,55,7.87
78,Mar Del Plata,AR,2021-05-29 19:16:29,-38.0023,-57.5575,51.1,62,40,8.01
79,Ilebo,CD,2021-05-29 19:16:29,-4.3167,20.5833,79.41,58,77,0.13
80,Fare,PF,2021-05-29 19:16:29,-16.7,-151.0167,79.52,70,29,6.87
81,Abrau-Dyurso,RU,2021-05-29 19:16:30,44.69,37.59,63.86,87,100,13.04
82,Samarai,PG,2021-05-29 19:16:30,-10.6167,150.6667,78.17,77,100,14.32
83,Chibombo,ZM,2021-05-29 19:16:31,-14.6569,28.0706,56.55,35,0,3.91
84,Cherskiy,RU,2021-05-29 19:16:31,68.75,161.3,51.53,44,15,13.47
85,Pemba,MZ,2021-05-29 19:16:31,-12.974,40.5178,75.9,88,20,9.22
86,Pemangkat,ID,2021-05-29 19:16:31,1.1667,108.9667,79.07,85,100,5.75
87,Shimoda,JP,2021-05-29 19:16:32,34.6667,138.95,68.11,84,100,8.84
88,Kavaratti,IN,2021-05-29 19:16:32,10.5669,72.642,83.52,75,100,16.55
89,Batagay-Alyta,RU,2021-05-29 19:16:32,67.8006,130.4114,37.54,75,75,9.48
90,Saskylakh,RU,2021-05-29 19:16:33,71.9167,114.0833,29.71,97,46,6.98
91,Salta,AR,2021-05-29 19:16:33,-24.7859,-65.4117,64.99,54,20,4.0
92,Yellowknife,CA,2021-05-29 19:13:04,62.456,-114.3525,53.33,46,98,1.99
93,Port Lincoln,AU,2021-05-29 19:16:33,-34.7333,135.8667,56.1,64,0,17.58
94,Uige,AO,2021-05-29 19:16:34,-7.6087,15.0613,72.88,56,60,1.74
95,Khatanga,RU,2021-05-29 19:16:34,71.9667,102.5,36.32,82,100,10.83
96,Valparaiso,CL,2021-05-29 19:15:55,-33.0393,-71.6273,67.64,59,0,11.5
97,Labuhan,ID,2021-05-29 19:16:34,-6.8844,112.2051,77.5,88,100,5.99
98,Limbazi,LV,2021-05-29 19:16:35,57.5129,24.7194,52.03,54,3,8.03
99,Kez,RU,2021-05-29 19:16:35,57.8979,53.7152,59.83,96,100,6.51
100,Colesberg,ZA,2021-05-29 19:16:35,-30.72,25.0972,48.36,41,94,7.61
101,Trinidad,BO,2021-05-29 19:16:36,-14.8333,-64.9,89.58,58,40,5.75
102,Atagay,RU,2021-05-29 19:16:36,55.1033,99.3875,32.67,87,90,4.18
