City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Morros,BR,85.86,scattered clouds,-9.4467,-46.3003,
636,Sorong,ID,79.63,overcast clouds,-0.8833,131.25,waigo splash hotel
642,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
643,Sable-Sur-Sarthe,FR,78.98,clear sky,47.8376,-0.3329,Hôtel 3 étoiles Campanile de SABLE SUR SARTHE - VION
648,Merano,IT,80.92,clear sky,46.6682,11.1595,Hotel Adria Merano
649,Vieques,PR,86.85,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
650,Almaznyy,RU,75.34,overcast clouds,48.0448,40.045,
651,Kristianstad,SE,77.54,broken clouds,56.0313,14.1524,First Hotel Christian IV
652,Mitsamiouli,KM,80.51,scattered clouds,-11.3847,43.2844,Foyer ADM
658,Yangjiang,CN,82.69,moderate rain,21.85,111.9667,HUALUXE Yangjiang City Center
659,Capitao Poco,BR,82.53,few clouds,-1.7464,-47.0594,Hotel New Tokyo
669,Khani,GE,85.57,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
670,Bontang,ID,79.79,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
671,Muisne,EC,78.91,overcast clouds,0.6,-80.0333,Quinta Samay
673,Benjamin Constant,BR,80.73,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
