City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,San Blas,MX,21.5167,-105.2667,82.51,45,44,2.53,scattered clouds
352,Atar,MR,20.5169,-13.0499,107.71,13,9,4.29,clear sky
353,Bilma,NE,18.6853,12.9164,106.81,6,83,13.69,broken clouds
354,Abu Dhabi,AE,24.4667,54.3667,105.91,39,0,11.74,clear sky
355,Tafalla,ES,42.5269,-1.6745,86.4,39,86,9.42,overcast clouds
356,Benguela,AO,-12.5763,13.4055,83.68,48,5,7.18,clear sky
357,Karratha,AU,-20.7377,116.8463,70.68,46,99,15.17,overcast clouds
358,Korla,CN,41.7597,86.1469,83.1,15,100,6.29,overcast clouds
359,Hirara,JP,24.8,125.2833,79.83,84,100,17.13,overcast clouds
360,Challapata,BO,-18.9,-66.7667,44.83,24,66,4.25,broken clouds
361,Abalak,RU,58.1286,68.5944,44.24,85,99,13.47,overcast clouds
362,Szczytno,PL,53.5626,20.9875,64.33,39,0,9.22,clear sky
363,Pacific Grove,US,36.6177,-121.9166,63.63,90,20,1.99,few clouds
364,Rocha,UY,-34.4833,-54.3333,60.21,52,12,19.64,few clouds
365,Nador,MA,35.174,-2.9287,68.25,94,75,8.75,broken clouds
366,Uray,RU,60.1247,64.7758,52.48,54,93,5.88,overcast clouds
367,Port Shepstone,ZA,-30.7414,30.455,68.68,64,100,21.72,overcast clouds
368,Hit,IQ,33.6416,42.8251,102.6,8,1,7.14,clear sky
369,Srednekolymsk,RU,67.45,153.6833,53.82,43,5,10.49,clear sky
370,Darlowo,PL,54.421,16.4107,56.68,54,30,6.51,scattered clouds
371,Moyale,KE,3.5167,39.0584,73.26,63,87,6.96,overcast clouds
372,Hobyo,SO,5.3505,48.5268,79.75,77,93,23.29,overcast clouds
373,Valle De Allende,MX,26.9333,-105.4,74.32,48,11,2.51,few clouds
374,Acarau,BR,-2.8856,-40.12,86.59,61,17,12.39,few clouds
375,Buraydah,SA,26.326,43.975,106.68,8,83,6.51,broken clouds
376,Shenzhen,CN,22.5455,114.0683,83.21,92,100,5.14,light rain
377,Salamanca,ES,40.8333,-6.0,86.63,31,7,19.26,clear sky
378,Kyren,RU,51.6828,102.1408,35.02,84,98,2.64,overcast clouds
379,Santa Maria,BR,-29.6842,-53.8069,58.42,49,10,0.6,clear sky
380,Qarqin,AF,37.4185,66.0436,99.34,9,0,13.62,clear sky
381,Bereda,ES,43.2686,-7.5406,85.57,42,0,4.29,clear sky
382,Saumur,FR,47.3333,-0.25,77.9,39,0,10.78,clear sky
383,Prince George,CA,53.9166,-122.753,57.25,93,90,2.3,overcast clouds
384,Haverfordwest,GB,51.8017,-4.9691,65.16,73,58,11.88,broken clouds
385,Taicheng,CN,38.731,113.228,59.09,77,100,5.08,overcast clouds
386,Iroquois Falls,CA,48.7669,-80.6831,63.81,45,7,9.93,clear sky
387,Bonnyville,CA,54.2668,-110.735,54.37,93,100,6.22,overcast clouds
388,Ilheus,BR,-14.7889,-39.0494,74.62,86,92,1.72,overcast clouds
389,Shebunino,RU,46.4339,141.8603,39.0,91,10,1.92,clear sky
390,Puerto Ayacucho,VE,5.6639,-67.6236,81.54,75,98,2.37,overcast clouds
391,Sabha,LY,27.0377,14.4283,101.35,9,1,12.26,clear sky
392,Acari,PE,-15.4311,-74.6158,71.47,65,100,6.82,overcast clouds
393,Inuvik,CA,68.3499,-133.7218,38.77,60,44,13.0,scattered clouds
394,Naze,JP,28.3667,129.4833,71.42,77,56,16.82,broken clouds
395,Fairmont,US,39.4851,-80.1426,66.27,76,99,3.42,overcast clouds
396,Panaba,MX,21.2833,-88.2667,87.01,54,2,8.77,clear sky
397,Guerrero Negro,MX,27.9769,-114.0611,62.01,73,2,8.7,clear sky
398,Adrar,MR,20.5022,-10.0711,103.69,13,96,3.53,overcast clouds
399,Russell,US,32.3502,-85.1999,77.79,67,34,8.86,scattered clouds
400,Fonte Boa,BR,-2.4959,-66.2662,84.79,68,99,3.33,overcast clouds
401,Katobu,ID,-4.9408,122.5276,75.04,91,98,4.12,overcast clouds
402,Poum,NC,-20.2333,164.0167,71.91,55,32,15.39,scattered clouds
403,Fort Nelson,CA,58.8053,-122.7002,60.48,48,48,3.33,scattered clouds
404,Nemuro,JP,43.3236,145.575,40.62,86,65,14.79,broken clouds
405,Oistins,BB,13.0667,-59.5333,87.89,51,75,26.46,broken clouds
406,Marienburg,PL,54.0359,19.0266,65.88,57,49,7.05,scattered clouds
407,Bandarbeyla,SO,9.4942,50.8122,79.99,82,86,29.46,overcast clouds
408,Amahai,ID,-3.3333,128.9167,78.67,85,90,4.23,overcast clouds
409,Obo,CF,5.3998,26.4869,89.31,45,53,5.86,broken clouds
410,Morondava,MG,-20.2833,44.2833,75.49,61,1,11.3,clear sky
411,Atherton,GB,53.5237,-2.4935,74.28,46,7,4.0,clear sky
412,Ponta Delgada,PT,37.7333,-25.6667,66.92,82,40,20.71,scattered clouds
413,Boali,CF,4.8005,18.1275,92.46,49,77,3.29,broken clouds
414,Lompoc,US,34.6391,-120.4579,58.08,100,90,3.62,mist
415,Lyman,UA,48.9884,37.8023,65.01,69,98,11.9,overcast clouds
416,Nishihara,JP,26.1842,127.7558,76.28,83,40,14.05,scattered clouds
417,Zhuhai,CN,22.2769,113.5678,83.05,89,40,11.97,moderate rain
418,Yumen,CN,40.2833,97.2,67.84,10,0,10.29,clear sky
419,Krasnyy Klyuch,RU,55.3863,56.6529,55.09,72,100,8.86,overcast clouds
420,Katsuura,JP,35.1333,140.3,67.19,80,46,6.96,scattered clouds
421,Visnes,NO,59.3556,5.2242,61.11,76,0,12.66,light rain
422,Port-Gentil,GA,-0.7193,8.7815,79.86,81,71,17.47,light rain
423,Ribeira Grande,PT,38.5167,-28.7,66.6,88,75,8.05,broken clouds
424,Kitami,JP,43.8031,143.8908,33.91,93,14,2.17,few clouds
425,Puerto Colombia,CO,10.9878,-74.9547,87.89,70,56,14.45,broken clouds
426,Fort Saint James,CA,54.4333,-124.25,51.93,82,87,1.21,overcast clouds
427,Gore,NZ,-46.1028,168.9436,49.23,94,100,2.17,overcast clouds
428,Kirakira,SB,-10.4544,161.9205,77.9,89,94,9.08,overcast clouds
429,Letlhakeng,BW,-24.0944,25.0298,72.99,21,3,6.8,clear sky
430,Mago,RU,53.2514,140.1822,44.51,69,48,4.41,scattered clouds
431,Saint Anthony,US,45.0205,-93.218,65.75,81,20,1.01,few clouds
432,Mahanoro,MG,-19.9,48.8,74.53,86,0,6.2,clear sky
433,Gambela,ET,8.25,34.5833,91.27,46,11,5.66,few clouds
434,Hervey Bay,AU,-25.2986,152.8535,61.03,67,90,11.43,overcast clouds
435,Boca Do Acre,BR,-8.7522,-67.3978,87.28,59,51,3.47,broken clouds
436,Nyurba,RU,63.2842,118.3319,55.0,47,12,1.97,few clouds
437,Waynesville,US,35.4887,-82.9887,67.78,70,81,0.65,broken clouds
438,Santana Do Livramento,BR,-30.8908,-55.5328,58.98,49,18,9.06,few clouds
439,Lagoa Da Canoa,BR,-9.8297,-36.7378,80.98,68,40,9.46,scattered clouds
440,Kokkola,FI,63.8385,23.1307,57.36,60,0,11.01,clear sky
441,Palembang,ID,-2.9167,104.7458,77.38,92,100,3.4,overcast clouds
442,Ketchikan,US,55.3422,-131.6461,54.07,94,90,11.5,moderate rain
443,Monrovia,LR,6.3005,-10.7969,87.57,88,100,6.49,light rain
444,Sainte-Maxime,FR,43.3,6.6333,78.98,60,4,10.2,clear sky
445,Rimbey,CA,52.6334,-114.2353,61.63,68,38,4.7,scattered clouds
446,Marquette,US,46.5333,-87.6335,62.37,61,65,5.17,broken clouds
447,Kahului,US,20.8947,-156.47,75.85,74,32,3.0,scattered clouds
448,Ingham,US,42.6,-84.3833,67.44,50,1,6.91,clear sky
449,Kapuskasing,CA,49.4169,-82.4331,63.5,49,11,9.1,few clouds
450,Port Hedland,AU,-20.3167,118.5667,69.85,88,80,6.91,broken clouds
451,Abbeville,FR,50.1,1.8333,75.49,55,0,12.21,clear sky
452,Kyabe,TD,9.4515,18.9449,101.41,23,93,6.96,overcast clouds
453,Hofn,IS,64.2539,-15.2082,51.82,76,75,13.8,broken clouds
454,Kota Kinabalu,MY,5.9749,116.0724,82.38,83,20,3.44,few clouds
455,Safaga,EG,26.7292,33.9365,94.93,32,11,6.55,few clouds
456,Port Blair,IN,11.6667,92.75,83.61,76,2,4.47,clear sky
457,Ushtobe,KZ,45.2514,77.9838,73.85,15,0,6.78,clear sky
458,Ranong,TH,9.9658,98.6348,80.91,85,62,7.45,broken clouds
459,Rio Grande,BR,-32.035,-52.0986,62.94,46,11,11.86,few clouds
460,Vanimo,PG,-2.6741,141.3028,78.57,88,100,7.78,light rain
461,San Patricio,US,28.017,-97.5169,84.07,68,43,15.26,scattered clouds
462,Bukan,IR,36.521,46.2089,79.36,18,0,15.66,clear sky
463,Beira,MZ,-19.8436,34.8389,75.29,78,40,6.91,scattered clouds
464,Mehamn,NO,71.0357,27.8492,42.71,93,100,25.55,overcast clouds
465,Augusta,DE,48.3667,10.8833,67.01,41,0,6.91,clear sky
466,Waingapu,ID,-9.6567,120.2641,75.85,86,59,4.43,broken clouds
467,Zhezkazgan,KZ,47.8043,67.7144,73.58,54,100,9.73,overcast clouds
468,Katherine,AU,-14.4667,132.2667,73.72,68,100,9.64,overcast clouds
469,Fairbanks,US,64.8378,-147.7164,57.22,68,99,1.48,overcast clouds
470,Kudahuvadhoo,MV,2.6708,72.8944,83.82,72,21,17.9,few clouds
471,Saint-Francois,FR,46.4154,3.9054,78.67,42,0,5.75,clear sky
472,Henties Bay,NA,-22.116,14.2845,63.86,70,1,13.96,clear sky
473,Lata,PT,40.1629,-8.3327,87.04,53,38,11.43,scattered clouds
474,Esperance,AU,-33.8667,121.9,59.7,84,100,26.64,overcast clouds
475,Ust-Koksa,RU,50.2696,85.6108,57.67,56,63,2.95,broken clouds
